dictionary	key	pointer	text	classification	player_visible	confidence	evidence
cardMagiaMap.json	90466	/name	粛清天使	确实漏译的说明/UI文本	True	0.95	scan=japanese_shinjitai_marker | pass15_text_health=replacement/control/bidi:0 | japanese_marker_chars=粛 | official_cn_dump=missing_record:authority.json/cardMagiaMap.json/90466/name | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta
chapterList.json	34	/chapterNoForView	現代神滨篇	确实漏译的说明/UI文本	True	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/chapterList.json/34/chapterNoForView | wiki_frozen_exact=none | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta
charaList.json	1031	/school	宝崎市立光塚中等教育学校	确实漏译的说明/UI文本	True	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/charaList.json/1031/school | wiki_frozen_typed_record=data/characters.json/神乐灿#charaId | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta
charaList.json	1032	/school	宝崎市立光塚中等教育学校	确实漏译的说明/UI文本	True	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/charaList.json/1032/school | wiki_frozen_typed_record=data/characters.json/游狩美由利#charaId | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta
charaMessageList.json	1040_1	/message	"我是旅行调整屋之一，篠目约鹤。
受老师邀请，我成为了调整屋。
作为魔法少女，我实在太过弱小，
甚至没有活下去的力量，
是老师为我指明了生存之路。
虽然我作为调整屋还缺乏经验，
但我会怀着自豪，替您保管灵魂宝石。"	确实漏译的说明/UI文本	True	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/charaMessageList.json/1040_1/message | wiki_frozen_typed_record=data/characters.json/篠目夜鹤#charaId | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta
charaMessageList.json	1040_2	/message	"您好，我叫篠目约鹤，
在中央区经营调整屋。
您光临时，
请允许我用美味甜点款待您。"	确实漏译的说明/UI文本	True	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/charaMessageList.json/1040_2/message | wiki_frozen_typed_record=data/characters.json/篠目夜鹤#charaId | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta
charaMessageList.json	1040_70	/message	準備完了	确实漏译的说明/UI文本	True	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/charaMessageList.json/1040_70/message | wiki_frozen_exact=data/voice_subtitles.json/vo_char_1040_00_70 | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta
charaMessageList.json	1040_78	/message	好評配信中	确实漏译的说明/UI文本	True	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/charaMessageList.json/1040_78/message | wiki_frozen_typed_record=data/characters.json/篠目夜鹤#charaId | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta
charaMessageList.json	3021_78	/message	好評配信中！	确实漏译的说明/UI文本	True	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/charaMessageList.json/3021_78/message | wiki_frozen_typed_record=data/characters.json/铃鹿朔夜#charaId | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta
charaMessageList.json	3056_78	/message	好評配信中	确实漏译的说明/UI文本	True	0.95	scan=opencc_t2s_difference | pass15_text_health=replacement/control/bidi:0 | orthography_check=opencc_t2s_diff | official_cn_dump=missing_record:authority.json/charaMessageList.json/3056_78/message | wiki_frozen_typed_record=data/characters.json/水树垒#charaId | wiki_frozen_zh_exact=none | pass15_coverage=unchanged_or_not_in_382_delta
